Section,Subsection,Page,URL,Notes
Home,,Home,https://testlify.com/,
Product,,Testlify AI,https://testlify.com/ai-powered-talent-assessment-platform/,
Product,,AI resume screener,https://testlify.com/ai-resume-screener/,
Product,,Features,https://testlify.com/features/,
Product,Features,Audio questions,https://testlify.com/audio-questions/,Question type
Product,Features,Date questions,https://testlify.com/date-questions/,Question type
Product,Features,Dropdown questions,https://testlify.com/dropdown-questions/,Question type
Product,Features,File upload questions,https://testlify.com/file-upload-questions/,Question type
Product,Features,Fill in the blank,https://testlify.com/fill-in-the-blank/,Question type
Product,Features,Google Doc questions,https://testlify.com/google-doc-questions/,Question type
Product,Features,Google Sheet questions,https://testlify.com/google-sheet-questions/,Question type
Product,Features,Google Slides questions,https://testlify.com/google-slides-questions/,Question type
Product,Features,Multiple select questions,https://testlify.com/multiple-select-questions/,Question type
Product,Features,Number questions,https://testlify.com/number-questions/,Question type
Product,Features,Open ended questions,https://testlify.com/open-ended-questions/,Question type
Product,Features,Qualifier questions,https://testlify.com/qualifier-questions/,Question type
Product,Features,Ranking questions,https://testlify.com/ranking-questions/,Question type
Product,Features,Rating questions,https://testlify.com/rating-questions/,Question type
Product,Features,Short answer questions,https://testlify.com/short-answer-questions/,Question type
Product,Features,Single select questions,https://testlify.com/single-select-questions/,Question type
Product,Features,Yes/no questions,https://testlify.com/yes-no-questions/,Question type
Product,Features,Custom question types,https://testlify.com/multiple-question-types/,Question type
Product,Features,Anti-cheating & proctoring,https://testlify.com/anti-cheating-and-proctoring/,
Product,Features,Multilingual abilities,https://testlify.com/multilingual-abilities/,
Product,Features,Reporting & analytics,https://testlify.com/reporting-analytics/,
Product,Features,Seamless ATS integration,https://testlify.com/seamless-ats-integration/,
Product,Features,API,https://testlify.com/api/,
Product,Features,White label,https://testlify.com/white-label/,
Product,Features,Candidate journey,https://testlify.com/candidate-journey/,
Product,,Video interviewing,https://testlify.com/video-interviewing-tool/,
Product,,Science behind tests,https://testlify.com/science/,
Product,,Live product demo,https://testlify.com/demo/,
Product,,Roadmap,https://roadmap.testlify.com/,External subdomain
Product,,ATS integrations,https://testlify.com/integrations/,
Test library,,Test library,https://testlify.com/test-library/,Hundreds of test detail pages
Interviews,,Interview library,https://testlify.com/interviews/,
Pricing,,Pricing,https://testlify.com/pricing/,
Pricing,,Compare plans,https://testlify.com/compare-plans/,
Solutions,By industry,Information & technology,https://testlify.com/it-industry/,
Solutions,By industry,Logistics & supply chain,https://testlify.com/logistics-supply-chain-industry/,
Solutions,By industry,Retail,https://testlify.com/retail-industry/,
Solutions,By industry,Recruitment,https://testlify.com/recruitment-industry/,
Solutions,By industry,Financial,https://testlify.com/financial-industry/,
Solutions,By industry,SaaS,https://testlify.com/saas-industry/,
Solutions,By industry,Energy,https://testlify.com/energy-industry/,
Solutions,By industry,Hospitality,https://testlify.com/hospitality-industry/,
Solutions,By industry,Health care,https://testlify.com/health-care-industry/,
Solutions,By industry,BPO,https://testlify.com/bpo-industry/,
Solutions,By industry,Edtech,https://testlify.com/edtech-industry/,
Solutions,By industry,Real estate,https://testlify.com/real-estate-industry/,
Solutions,By industry,Media,https://testlify.com/media-industry/,
Solutions,By use case,Lateral hiring,https://testlify.com/lateral-hiring/,
Solutions,By use case,Diversity and inclusion,https://testlify.com/diversity-and-inclusions/,
Solutions,By use case,Volume hiring,https://testlify.com/volume-hiring/,
Solutions,By use case,Remote hiring,https://testlify.com/remote-hiring/,
Solutions,By use case,Blue collar hiring,https://testlify.com/blue-collar-hiring/,
Solutions,By use case,Freelance hiring,https://testlify.com/freelance-hiring/,
Solutions,By use case,Campus hiring,https://testlify.com/campus-hiring/,
Solutions,By use case,Technical hiring,https://testlify.com/technical-hiring/,
Solutions,By use case,Sales hiring,https://testlify.com/sales-hiring/,
Solutions,By use case,Skills validation,https://testlify.com/skills-validation/,
Solutions,By test type,Role specific,https://testlify.com/role-specific-tests/,
Solutions,By test type,Language,https://testlify.com/language-tests/,
Solutions,By test type,Programming,https://testlify.com/programming-tests/,
Solutions,By test type,Software skills,https://testlify.com/software-skills-tests/,
Solutions,By test type,Personality & culture,https://testlify.com/psychometric-tests/,
Solutions,By test type,Cognitive ability,https://testlify.com/cognitive-ability-tests/,
Solutions,By test type,Situational judgment,https://testlify.com/situational-judgment/,
Solutions,By test type,CEFR,https://testlify.com/cefr-test/,
Solutions,By test type,Typing,https://testlify.com/typing-test/,
Solutions,By test type,Coding,https://testlify.com/coding-tests/,
Solutions,By test type,Engineering,https://testlify.com/engineering-skills/,
Solutions,By company type,For startups,https://testlify.com/for-startups/,
Solutions,By company type,SMBs,https://testlify.com/small-medium-businesses/,
Solutions,By company type,Enterprises,https://testlify.com/enterprise/,
Solutions,By company type,Non-profits,https://testlify.com/non-profits/,
Solutions,By company type,Public sector,https://testlify.com/public-sector-talent-assessment-solution/,
Resources,,Blog,https://testlify.com/blog/,Hundreds of posts
Resources,HR tools,HR tools index,https://testlify.com/hr-tools/,
Resources,HR tools,AI interview question generator,https://testlify.com/ai-interview-question-generator/,
Resources,HR tools,AI job description generator,https://testlify.com/job-description-generator/,
Resources,HR tools,Cost per hire calculator,https://testlify.com/cost-per-hire-calculator/,
Resources,HR tools,Attrition rate calculator,https://testlify.com/attrition-rate-calculator/,
Resources,HR tools,Employee NPS calculator,https://testlify.com/free-employee-net-promoter-score-enps-calculator/,
Resources,HR tools,Applicant funnel calculator,https://testlify.com/applicant-funnel-calculator/,
Resources,HR tools,Average time to hire calculator,https://testlify.com/average-time-to-hire-calculator/,
Resources,HR tools,Employee turnover cost calculator,https://testlify.com/cost-of-employee-turnover-calculator/,
Resources,HR tools,Sourcing channel efficiency calculator,https://testlify.com/sourcing-channel-efficiency-calculator/,
Resources,HR tools,Remote work cost savings calculator,https://testlify.com/remote-work-cost-savings-calculator/,
Resources,HR tools,Quality of hire calculator,https://testlify.com/quality-of-hire-calculator/,
Resources,HR tools,Interview-to-offer ratio calculator,https://testlify.com/interview-to-offer-ratio-calculator/,
Resources,HR tools,Recruiting conversion rate calculator,https://testlify.com/recruiting-conversion-rate-calculator/,
Resources,HR tools,Job offer acceptance rate calculator,https://testlify.com/job-offer-acceptance-rate-calculator/,
Resources,HR tools,Hiring manager satisfaction calculator,https://testlify.com/hiring-manager-satisfaction-calculator/,
Resources,,Hiring guides,https://testlify.com/hiring-guides/,~90 role guides
Resources,,HR glossary,https://testlify.com/hr-glossary/,
Resources,,Customer success stories,https://testlify.com/customer-success-stories/,
Resources,,Job description templates,https://testlify.com/job-description-templates/,
Resources,,Ebooks,https://testlify.com/knowledge-base/,
Resources,,Podcasts,https://testlify.com/podcast/,
Resources,,Referral program,https://testlify.com/referral-program/,
Resources,,Partnership program,https://testlify.com/partnership/,
Resources,,Integration program,https://testlify.com/integration-program/,
Resources,,Competitors,https://testlify.com/alternatives/,~100 alternative pages
Resources,,Sitemap,https://testlify.com/sitemap/,
About,,Our story,https://testlify.com/about/,
About,,Contact us,https://testlify.com/contact/,
About,,Our leadership,https://testlify.com/our-leadership/,12 person subpages
About,,Clients,https://testlify.com/clients/,
About,,Partners,https://testlify.com/our-partners/,
About,,Job openings,https://testlify.com/job-openings/,
About,,Careers,https://testlify.com/careers/,
About,,Write for us,https://testlify.com/write-for-us/,
About,Trust center,Trust center,https://testlify.com/trust/,
About,Trust center,Compliances,https://testlify.com/trust/compliances/,
About,Trust center,Data management,https://testlify.com/trust/data-management/,
About,Trust center,Data requests,https://testlify.com/trust/data-requests/,
About,Trust center,Privacy,https://testlify.com/trust/privacy/,
About,Trust center,Security,https://testlify.com/trust/security/,
Legal,,Privacy policy,https://testlify.com/privacy-policy/,
Legal,,Terms & conditions,https://testlify.com/terms/,
Legal,,Refund policy,https://testlify.com/fair-refund-policy/,
Legal,,Cookie policy,https://testlify.com/cookie-policy/,
Legal,,GDPR compliance,https://testlify.com/gdpr-compliance/,
Legal,,CCPA,https://testlify.com/ccpa/,
Legal,,Data processing agreement,https://testlify.com/data-processing-agreement/,
Legal,,Data privacy framework,https://testlify.com/data-privacy-framework/,
Legal,,Security,https://testlify.com/security/,
Legal,,Security practices,https://testlify.com/security-practices/,
Legal,,Service level agreement,https://testlify.com/service-level-agreement/,
Legal,,Accessibility policy,https://testlify.com/accessibility-policy/,
Legal,,NYC bias audit,https://testlify.com/new-york-city-bias-audit/,
Locales,,Locale mirrors,,"13 languages: ar, da, de, el, es, fr, it, ja, nl, no, pl, pt-br, sv"
